,Position,Name,Salary
11/22/13,SG,Louis Williams,5200
11/22/13,PF,Brandon Bass,5100
11/22/13,C,Zaza Pachulia,5100
11/22/13,SG,Jordan Crawford,5100
11/22/13,SG,Danny Green,5000
11/22/13,SF,Andrei Kirilenko,5000
11/22/13,C,Nerlens Noel,5000
11/22/13,SG,Gerald Green,5000
11/22/13,SF,Otto Porter,5000
11/22/13,SG,Vince Carter,5000
11/22/13,PG,Jarrett Jack,5000
11/22/13,SF,Martell Webster,5000
11/22/13,PG,Avery Bradley,5000
11/22/13,PF,Andray Blatche,4900
11/22/13,PG,Ramon Sessions,4900
11/22/13,SG,Nick Young,4900
11/22/13,C,Samuel Dalembert,4900
11/22/13,PG,Steve Nash,4900
11/22/13,PF,Josh McRoberts,4900
11/22/13,SF,Chase Budinger,4800
11/22/13,SG,Tony Allen,4800
11/22/13,C,DeJuan Blair,4800
11/22/13,SG,Alec Burks,4800
11/22/13,SG,Devin Harris,4700
11/22/13,SG,James Anderson,4700
11/22/13,PF,Jason Smith,4700
11/22/13,PG,Shaun Livingston,4700
11/22/13,PG,Luke Ridnour,4600
11/22/13,SF,P.J. Tucker,4600
11/22/13,C,Vitor Faverani,4500
11/22/13,SF,Wesley Johnson,4500
11/22/13,PG,Nate Wolters,4500
11/22/13,SF,Gerald Wallace,4500
11/22/13,C,Chris Kaman,4400
11/22/13,C,Kelly Olynyk,4400
11/22/13,PF,Boris Diaw,4400
11/22/13,SF,Harrison Barnes,4400
11/22/13,SF,Khris Middleton,4300
11/22/13,PF,Marcus Morris,4300
11/22/13,SG,Jodie Meeks,4300
11/22/13,SG,Carlos Delfino,4300
11/22/13,SF,DeMarre Carroll,4300
11/22/13,PF,Luis Scola,4300
11/22/13,SF,Al-Farouq Aminu,4200
11/22/13,SG,Courtney Lee,4200
11/22/13,PG,Jose Juan Barea,4200
11/22/13,SG,Kentavious Caldwell-Pope,4200
11/22/13,PF,Cody Zeller,4200
11/22/13,SF,Tayshaun Prince,4100
11/22/13,PF,Marvin Williams,4100
11/22/13,SG,C.J. Miles,4100
11/22/13,C,Kosta Koufos,4000
11/22/13,SF,Richard Jefferson,4000
11/22/13,PF,Brandan Wright,4000
11/22/13,SF,Jeffery Taylor,4000
11/22/13,SG,Jason Richardson,4000
11/22/13,SG,Gary Neal,4000
11/22/13,PF,Channing Frye,4000
11/22/13,PF,Dante Cunningham,4000
11/22/13,C,Bismack Biyombo,3900
11/22/13,PG,Will Bynum,3900
11/22/13,SG,Kent Bazemore,3900
11/22/13,PF,Reggie Evans,3900
11/22/13,SF,Earl Clark,3900
11/22/13,SG,Marco Belinelli,3900
11/22/13,PG,Shelvin Mack,3800
11/22/13,PF,Lavoy Allen,3800
11/22/13,SG,Ben Gordon,3800
11/22/13,PF,Anthony Bennett,3800
11/22/13,C,Ekpe Udoh,3800
11/22/13,PF,Mike Scott,3800
11/22/13,SF,Jeff Adrien,3700
11/22/13,PF,Mason Plumlee,3700
11/22/13,PF,Derrick Williams,3700
11/22/13,SG,John Jenkins,3700
11/22/13,C,Jermaine O'Neal,3700
11/22/13,PF,Kris Humphries,3700
11/22/13,SF,Jan Vesely,3700
11/22/13,PG,Jordan Farmar,3700
11/22/13,PF,Al Harrington,3700
11/22/13,SG,Brian Roberts,3700
11/22/13,SG,Archie Goodwin,3700
11/22/13,PG,Jerryd Bayless,3700
11/22/13,PG,Chauncey Billups,3600
11/22/13,C,Miroslav Raduljica,3600
11/22/13,PF,Tyler Hansbrough,3600
11/22/13,SF,Shawne Williams,3600
11/22/13,SF,Cartier Martin,3600
11/22/13,SG,Mike Miller,3600
11/22/13,PF,Anthony Tolliver,3600
11/22/13,C,Pero Antic,3600
11/22/13,SG,Jared Cunningham,3600
11/22/13,SG,Alan Anderson,3600
11/22/13,SF,Chris Copeland,3600
11/22/13,PF,Gustavo Ayon,3600
11/22/13,SF,Robbie Hummel,3600
11/22/13,SG,Brandon Rush,3600
11/22/13,SG,Diante Garrett,3500
11/22/13,PG,Dwight Buycks,3500
11/22/13,PG,D.J. Augustin,3500
11/22/13,SG,Terrence Ross,3500
11/22/13,SG,Giannis Adetokunbo,3500
11/22/13,SG,Ricky Ledo,3500
11/22/13,PG,Phil (Flip) Pressey,3500
11/22/13,PF,Arnett Moultrie,3500
11/22/13,SF,Draymond Green,3500
11/22/13,C,Kwame Brown,3500
11/22/13,PF,Charlie Villanueva,3500
11/22/13,SF,Shabazz Muhammad,3500
11/22/13,SF,Austin Daye,3500
11/22/13,C,Tyler Zeller,3500
11/22/13,C,Festus Ezeli,3500
11/22/13,PG,Jannero Pargo,3500
11/22/13,PG,Shane Larkin,3500
11/22/13,PG,Matthew Dellavedova,3500
11/22/13,SG,Sergey Karasev,3500
11/22/13,SF,Luigi Datome,3500
11/22/13,SG,Nando De Colo,3500
11/22/13,SG,Jason Terry,3500
11/22/13,C,Vyacheslav Kravtsov,3500
11/22/13,SF,Tornike Shengelia,3500
11/22/13,C,Rudy Gobert,3500
11/22/13,SG,Nemanja Nedovic,3500
11/22/13,PG,Gal Mekel,3500
11/22/13,SG,Alexey Shved,3500
11/22/13,PG,Dennis Schroeder,3500
11/22/13,SF,Orlando Johnson,3500
11/22/13,SG,Ian Clark,3500
11/22/13,SG,Jamaal Franklin,3500
11/22/13,SF,Mirza Teletovic,3500
11/22/13,SG,Julyan Stone,3500
11/22/13,SF,Brandon Davies,3500
11/22/13,SF,Elias Harris,3500
11/22/13,C,Robert Sacre,3500
11/22/13,C,Aron Baynes,3500
11/22/13,PG,Nick Calathes,3500
11/22/13,SG,Dionte Christmas,3500
11/22/13,SF,Lance Thomas,3500
11/22/13,SG,Austin Rivers,3500
11/22/13,C,Brendan Haywood,3500
11/22/13,SF,Quincy Pondexter,3500
11/22/13,PF,Trevor Booker,3500
11/22/13,PG,Toney Douglas,3500
11/22/13,SG,Xavier Henry,3500
11/22/13,PG,A.J. Price,3500
11/22/13,C,Daniel Orton,3500
11/22/13,PF,Ed Davis,3500
11/22/13,PG,Ishmael Smith,3500
11/22/13,SG,Donald Sloan,3500
11/22/13,SG,Josh Childress,3500
11/22/13,SF,Jeremy Evans,3500
11/22/13,SF,Matt Bonner,3500
11/22/13,SF,Landry Fields,3500
11/22/13,PG,John Lucas,3500
11/22/13,PF,Kevin Seraphin,3500
11/22/13,SG,Wayne Ellington,3500
11/22/13,PF,Jonas Jerebko,3500
11/22/13,C,Ian Mahinmi,3500
11/22/13,C,Aaron Gray,3500
11/22/13,PG,Patrick Mills,3500
11/22/13,C,Jeff Ayres,3500
11/22/13,SG,Keith Bogans,3500
11/22/13,PG,Jamaal Tinsley,3500
11/22/13,C,Greg Stiemsma,3500
11/22/13,PG,Eric Maynor,3500
11/22/13,SF,Alonzo Gee,3500
11/22/13,PG,Garrett Temple,3500
11/22/13,SF,Mike Harris,3500
11/22/13,PF,Louis Amundson,3500
11/22/13,PF,Marreese Speights,3500
11/22/13,PG,Glen Rice Jr.,3500
11/22/13,PG,Tyshawn Taylor,3500
11/22/13,SF,Hollis Thompson,3500
11/22/13,C,Henry Sims,3500
11/22/13,C,Bernard James,3500
11/22/13,C,Andris Biedrins,3500
11/22/13,C,Jeff Withey,3500
11/22/13,SG,Anthony Morrow,3500
11/22/13,PG,Peyton Siva,3500
11/22/13,SF,Jae Crowder,3500
11/22/13,C,Gorgui Dieng,3500
11/22/13,SG,Darius Miller,3500
11/22/13,PG,C.J. Watson,3500
11/22/13,C,Ronny Turiaf,3500
11/22/13,SF,Steve Novak,3500
11/22/13,PG,Cory Joseph,3500
11/22/13,SF,Kyle Singler,3500
11/22/13,SG,Marshon Brooks,3500
11/22/13,SF,Chris Singleton,3500
11/22/13,PF,Elton Brand,3500
11/22/13,SF,Rasual Butler,3500
11/22/13,SF,Jon Leuer,3500
11/22/13,PG,Darius Morris,3500
11/22/13,PF,Quincy Acy,3500
11/22/13,SF,Ryan Kelly,3500
11/22/13,SG,Carrick Felix,3500
11/22/13,PF,Solomon Hill,3500
11/22/13,C,Josh Harrellson,3500
11/22/13,C,Alex Len,3500
